WKT,wet_mass_idw,cloud.coverage.0_ARI2_2020.03.25.10.36.59_7632,cloud.coverage.0_ARVI_2020.03.25.10.36.59_7632,cloud.coverage.0_ATSAVI_2020.03.25.10.36.59_7632,cloud.coverage.0_CARI_2020.03.25.10.36.59_7632,cloud.coverage.0_CARI2_2020.03.25.10.36.59_7632,cloud.coverage.0_CCCI_2020.03.25.10.36.59_7632,cloud.coverage.0_CHLGREEN_2020.03.25.10.36.59_7632,cloud.coverage.0_CRI550_2020.03.25.10.36.59_7632,cloud.coverage.0_CRI700_2020.03.25.10.36.59_7632,cloud.coverage.0_CVI_2020.03.25.10.36.59_7632,cloud.coverage.0_EVI_2020.03.25.10.36.59_7632,cloud.coverage.0_EVI2_2020.03.25.10.36.59_7632,cloud.coverage.0_GLI_2020.03.25.10.36.59_7632,cloud.coverage.0_GOSAVI_2020.03.25.10.36.59_7632,cloud.coverage.0_LCI_2020.03.25.10.36.59_7632,cloud.coverage.0_MCARI_2020.03.25.10.36.59_7632,cloud.coverage.0_MCARI1_2020.03.25.10.36.59_7632,cloud.coverage.0_MCARI2_2020.03.25.10.36.59_7632,cloud.coverage.0_NDRE_2020.03.25.10.36.59_7632,cloud.coverage.0_NDVI_2020.03.25.10.36.59_7632,cloud.coverage.0_TCI_2020.03.25.10.36.59_7632,cloud.coverage.0_ARI2_2020.03.30.10.37.00_8331,cloud.coverage.0_ARVI_2020.03.30.10.37.00_8331,cloud.coverage.0_ATSAVI_2020.03.30.10.37.00_8331,cloud.coverage.0_CARI_2020.03.30.10.37.00_8331,cloud.coverage.0_CARI2_2020.03.30.10.37.00_8331,cloud.coverage.0_CCCI_2020.03.30.10.37.00_8331,cloud.coverage.0_CHLGREEN_2020.03.30.10.37.00_8331,cloud.coverage.0_CRI550_2020.03.30.10.37.00_8331,cloud.coverage.0_CRI700_2020.03.30.10.37.00_8331,cloud.coverage.0_CVI_2020.03.30.10.37.00_8331,cloud.coverage.0_EVI_2020.03.30.10.37.00_8331,cloud.coverage.0_EVI2_2020.03.30.10.37.00_8331,cloud.coverage.0_GLI_2020.03.30.10.37.00_8331,cloud.coverage.0_GOSAVI_2020.03.30.10.37.00_8331,cloud.coverage.0_LCI_2020.03.30.10.37.00_8331,cloud.coverage.0_MCARI_2020.03.30.10.37.00_8331,cloud.coverage.0_MCARI1_2020.03.30.10.37.00_8331,cloud.coverage.0_MCARI2_2020.03.30.10.37.00_8331,cloud.coverage.0_NDRE_2020.03.30.10.37.00_8331,cloud.coverage.0_NDVI_2020.03.30.10.37.00_8331,cloud.coverage.0_TCI_2020.03.30.10.37.00_8331,cloud.coverage.0_ARI2_2020.04.04.10.36.59_1536,cloud.coverage.0_ARVI_2020.04.04.10.36.59_1536,cloud.coverage.0_ATSAVI_2020.04.04.10.36.59_1536,cloud.coverage.0_CARI_2020.04.04.10.36.59_1536,cloud.coverage.0_CARI2_2020.04.04.10.36.59_1536,cloud.coverage.0_CCCI_2020.04.04.10.36.59_1536,cloud.coverage.0_CHLGREEN_2020.04.04.10.36.59_1536,cloud.coverage.0_CRI550_2020.04.04.10.36.59_1536,cloud.coverage.0_CRI700_2020.04.04.10.36.59_1536,cloud.coverage.0_CVI_2020.04.04.10.36.59_1536,cloud.coverage.0_EVI_2020.04.04.10.36.59_1536,cloud.coverage.0_EVI2_2020.04.04.10.36.59_1536,cloud.coverage.0_GLI_2020.04.04.10.36.59_1536,cloud.coverage.0_GOSAVI_2020.04.04.10.36.59_1536,cloud.coverage.0_LCI_2020.04.04.10.36.59_1536,cloud.coverage.0_MCARI_2020.04.04.10.36.59_1536,cloud.coverage.0_MCARI1_2020.04.04.10.36.59_1536,cloud.coverage.0_MCARI2_2020.04.04.10.36.59_1536,cloud.coverage.0_NDRE_2020.04.04.10.36.59_1536,cloud.coverage.0_NDVI_2020.04.04.10.36.59_1536,cloud.coverage.0_TCI_2020.04.04.10.36.59_1536,applied_rate
"POLYGON ((430357.067581047 5502069.25364231,430362.067581047 5502069.25364231,430362.067581047 5502064.25364231,430357.067581047 5502064.25364231,430357.067581047 5502069.25364231))",6574.238083,0.55822134,0.543274581,0.306193709,0.278765023,0.170875967,0.818433642,0.332356751,-0.8895998,0.911114216,2.91728735,0.414497346,0.36116752,-0.014954174,0.390716016,0.45307523,0.02856514,0.311376005,0.287684649,0.424959749,0.519235432,0.034375567,0.307607859,0.567174733,0.321979761,0.284360945,0.17748411,0.809828579,0.348574996,0.369811058,1.341715813,2.439982653,0.426067173,0.375637442,0.047529392,0.374589294,0.465291291,0.034761041,0.342887998,0.318333387,0.434398383,0.536407828,0.043292802,0.585991859,0.560795307,0.320195735,0.300632268,0.182479069,0.797519982,0.323556066,-0.287823677,1.510800838,2.857046127,0.422492683,0.379301637,0.007532961,0.395803213,0.453542948,0.035632458,0.334871978,0.307149678,0.421776146,0.528859675,0.041973025,55.83984182
"POLYGON ((430362.067581047 5502069.25364231,430367.067581047 5502069.25364231,430367.067581047 5502064.25364231,430362.067581047 5502064.25364231,430362.067581047 5502069.25364231))",6826.205501,0.55822134,0.543274581,0.306193709,0.278765023,0.170875967,0.818433642,0.332356751,-0.8895998,0.911114216,2.91728735,0.414497346,0.36116752,-0.014954174,0.390716016,0.45307523,0.02856514,0.311376005,0.287684649,0.424959749,0.519235432,0.034375567,0.307607859,0.567174733,0.321979761,0.284360945,0.17748411,0.809828579,0.348574996,0.369811058,1.341715813,2.439982653,0.426067173,0.375637442,0.047529392,0.374589294,0.465291291,0.034761041,0.342887998,0.318333387,0.434398383,0.536407828,0.043292802,0.585991859,0.560795307,0.320195735,0.300632268,0.182479069,0.797519982,0.323556066,-0.287823677,1.510800838,2.857046127,0.422492683,0.379301637,0.007532961,0.395803213,0.453542948,0.035632458,0.334871978,0.307149678,0.421776146,0.528859675,0.041973025,57.09855739
"POLYGON ((430357.067581047 5502064.25364231,430362.067581047 5502064.25364231,430362.067581047 5502059.25364231,430357.067581047 5502059.25364231,430357.067581047 5502064.25364231))",7849.560864,0.638822436,0.57987684,0.33672142,0.280303538,0.168778136,0.799339533,0.314774632,-0.981553733,1.037696838,2.948150873,0.427422434,0.385177523,-0.004738823,0.408036709,0.479036868,0.037570328,0.337000012,0.318665415,0.443907052,0.557153821,0.042731516,0.359361947,0.590583146,0.342380881,0.282344431,0.1744335,0.801410556,0.332262278,0.294837952,1.413745284,2.505736828,0.436234683,0.391882479,0.050822888,0.389133453,0.48444593,0.039211195,0.358420014,0.337482154,0.449601948,0.561541259,0.047440369,0.685599506,0.59744662,0.350007594,0.30329448,0.180274829,0.777730525,0.305211127,-0.533116341,1.539340377,2.892630339,0.438573629,0.402439147,0.012834482,0.413122535,0.478141636,0.046161342,0.359228015,0.337532163,0.438979328,0.566343904,0.051027883,56.19953283
"POLYGON ((430362.067581047 5502064.25364231,430367.067581047 5502064.25364231,430367.067581047 5502059.25364231,430362.067581047 5502059.25364231,430362.067581047 5502064.25364231))",7156.135377,0.617339075,0.57344991,0.331540187,0.281516502,0.169913605,0.801542024,0.319200218,-0.94035393,1.017415206,2.916089137,0.424096107,0.381092866,-0.004766094,0.40406693,0.474025398,0.037005513,0.33320421,0.314270049,0.439798862,0.550775667,0.04208354,0.373768528,0.588112573,0.340776036,0.284647753,0.175457845,0.800363402,0.334243794,0.257374128,1.415280898,2.503833373,0.433375974,0.390767475,0.049511655,0.388173352,0.481874297,0.039974838,0.357305338,0.336345623,0.446928829,0.559462309,0.047743106,0.661389112,0.590413054,0.344652991,0.303965131,0.181296746,0.780822814,0.309690515,-0.441090902,1.561676542,2.867299716,0.434027125,0.398384372,0.013936423,0.409300248,0.473319262,0.044958976,0.355399817,0.332767,0.435339858,0.559542398,0.049927048,58.85539105
"POLYGON ((430367.067581047 5502064.25364231,430372.067581047 5502064.25364231,430372.067581047 5502059.25364231,430367.067581047 5502059.25364231,430367.067581047 5502064.25364231))",8601.240371,0.55822134,0.543274581,0.306193709,0.278765023,0.170875967,0.818433642,0.332356751,-0.8895998,0.911114216,2.91728735,0.414497346,0.36116752,-0.014954174,0.390716016,0.45307523,0.02856514,0.311376005,0.287684649,0.424959749,0.519235432,0.034375567,0.307607859,0.567174733,0.321979761,0.284360945,0.17748411,0.809828579,0.348574996,0.369811058,1.341715813,2.439982653,0.426067173,0.375637442,0.047529392,0.374589294,0.465291291,0.034761041,0.342887998,0.318333387,0.434398383,0.536407828,0.043292802,0.585991859,0.560795307,0.320195735,0.300632268,0.182479069,0.797519982,0.323556066,-0.287823677,1.510800838,2.857046127,0.422492683,0.379301637,0.007532961,0.395803213,0.453542948,0.035632458,0.334871978,0.307149678,0.421776146,0.528859675,0.041973025,58.0447031
"POLYGON ((430357.067581047 5502059.25364231,430362.067581047 5502059.25364231,430362.067581047 5502054.25364231,430357.067581047 5502054.25364231,430357.067581047 5502059.25364231))",8561.379792,0.773157597,0.640880605,0.387600968,0.2828677,0.165281753,0.767515957,0.285471131,-1.134810249,1.248667876,2.999589841,0.448964278,0.425194164,0.012286761,0.43690456,0.522306263,0.052578976,0.379706721,0.370299995,0.475485861,0.620351195,0.056658098,0.445618729,0.629597167,0.376382718,0.278983543,0.169349164,0.787380576,0.305074384,0.169882774,1.533794284,2.61532712,0.453180561,0.418957571,0.056312047,0.413373689,0.516370316,0.046628114,0.384306679,0.369396736,0.474941194,0.603430251,0.054352984,0.85161231,0.658532202,0.399694055,0.307731529,0.176601097,0.744748096,0.274636199,-0.941937447,1.586906155,2.951937596,0.465375175,0.441001664,0.021670351,0.441988071,0.519139469,0.06370948,0.399821411,0.388169666,0.467651298,0.628817558,0.06611931,58.583899
"POLYGON ((430362.067581047 5502059.25364231,430367.067581047 5502059.25364231,430367.067581047 5502054.25364231,430362.067581047 5502054.25364231,430362.067581047 5502059.25364231))",5505.459455,0.743645767,0.641072293,0.388492038,0.288931787,0.168403154,0.762719293,0.290844073,-1.032988946,1.257272005,2.890961568,0.444716543,0.425855736,0.019553159,0.433203985,0.520592809,0.056776394,0.382713377,0.374727249,0.472394933,0.621692479,0.060047052,0.541823566,0.636415064,0.384563764,0.286932419,0.171328689,0.777024984,0.301384201,-0.037241752,1.592086156,2.65504384,0.448850681,0.426137129,0.053336484,0.419957399,0.519703368,0.052960325,0.390972674,0.378585587,0.475006312,0.613093177,0.058584622,0.824691991,0.656282187,0.39936019,0.312392722,0.179181968,0.743082563,0.279677947,-0.74332271,1.698724071,2.874203761,0.4584243,0.441155096,0.029998817,0.438888818,0.517213821,0.066404015,0.401780049,0.390654812,0.46521466,0.628116747,0.068163861,59.75016578
"POLYGON ((430367.067581047 5502059.25364231,430372.067581047 5502059.25364231,430372.067581047 5502054.25364231,430367.067581047 5502054.25364231,430367.067581047 5502059.25364231))",10254.08353,0.744924664,0.682988286,0.425675094,0.309108943,0.175525792,0.726571381,0.287327573,-0.827208102,1.426379144,2.595495582,0.446395651,0.45498082,0.05318464,0.441510677,0.544699758,0.079709101,0.420792058,0.423174798,0.484392285,0.668590575,0.079788201,0.892808169,0.683580995,0.432478815,0.308826327,0.173903152,0.736029446,0.271741882,-0.751732901,1.850680351,2.850068212,0.447165981,0.466313586,0.048007527,0.456401259,0.551469028,0.077240758,0.428782299,0.428150982,0.49237299,0.670858353,0.076135904,0.855314344,0.69082889,0.432010055,0.329572871,0.184540786,0.715670675,0.274292901,-0.416368961,2.070970178,2.678013086,0.45544742,0.4677497,0.061310902,0.449022427,0.53913635,0.08648736,0.435240045,0.43252115,0.477231994,0.668314815,0.084606174,59.65036891
"POLYGON ((430372.067581047 5502059.25364231,430377.067581047 5502059.25364231,430377.067581047 5502054.25364231,430372.067581047 5502054.25364231,430372.067581047 5502059.25364231))",8877.457217,0.662129283,0.696292639,0.437193543,0.304225445,0.17368041,0.727539957,0.285350114,-0.766388893,1.226231575,2.490845203,0.459126353,0.463869154,0.063861832,0.443152964,0.558632553,0.080958903,0.433004022,0.438072652,0.496865511,0.683173716,0.082158484,0.939975739,0.698182523,0.444266111,0.309691608,0.172689825,0.726193786,0.26377216,-0.882583618,1.870728135,2.863403559,0.449373603,0.474351525,0.049462486,0.463832021,0.561385095,0.081825107,0.43631205,0.43951416,0.498762101,0.686925054,0.080037311,0.827149332,0.702819824,0.444008976,0.324107111,0.181744009,0.718445003,0.269451857,-0.431031227,1.957378745,2.657017231,0.465832949,0.477803022,0.066912688,0.454827815,0.553627312,0.087240629,0.446756035,0.44645381,0.490421951,0.682741642,0.085947864,58.05216986
"POLYGON ((430352.067581047 5502054.25364231,430357.067581047 5502054.25364231,430357.067581047 5502049.25364231,430352.067581047 5502049.25364231,430352.067581047 5502054.25364231))",9186.433464,0.55822134,0.543274581,0.306193709,0.278765023,0.170875967,0.818433642,0.332356751,-0.8895998,0.911114216,2.91728735,0.414497346,0.36116752,-0.014954174,0.390716016,0.45307523,0.02856514,0.311376005,0.287684649,0.424959749,0.519235432,0.034375567,0.307607859,0.567174733,0.321979761,0.284360945,0.17748411,0.809828579,0.348574996,0.369811058,1.341715813,2.439982653,0.426067173,0.375637442,0.047529392,0.374589294,0.465291291,0.034761041,0.342887998,0.318333387,0.434398383,0.536407828,0.043292802,0.585991859,0.560795307,0.320195735,0.300632268,0.182479069,0.797519982,0.323556066,-0.287823677,1.510800838,2.857046127,0.422492683,0.379301637,0.007532961,0.395803213,0.453542948,0.035632458,0.334871978,0.307149678,0.421776146,0.528859675,0.041973025,58.90530193
